tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,10,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,31197
2021,10,Mikrotrans,JAK.85,Bintara - Cipinang Indah,30711
2021,10,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40186
2021,10,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,61883
2021,10,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,66616
2021,10,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,50363
2021,10,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,50676
2021,10,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,75846
2021,10,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,97831
2021,10,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,57649
2021,10,Mikrotrans,JAK.64,Lenteng Agung - Aseli,52926
2021,10,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,35233
2021,10,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,69665
2021,10,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,72106
2021,10,Mikrotrans,JAK.58,Cilingcing - Rorotan,91654
2021,10,Mikrotrans,JAK.56,Grogol - Srengseng,49293
2021,10,Mikrotrans,JAK.54,Grogol - Benhil,41815
2021,10,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,46344
2021,10,Mikrotrans,JAK.52,Kalideres - Muara Angke,65266
2021,10,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,104140
2021,10,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,69097
2021,10,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,44014
2021,10,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,50597
2021,10,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,83425
2021,10,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,48167
2021,10,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,64885
