,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategori_penumpang
70,2021,10,BRT,9,Pinang Ranti - Pluit,670052,Padat Penumpang
71,2021,10,BRT,8,Lebak Bulus - Harmoni,442361,Ramai Penumpang
72,2021,10,BRT,7,Kampung Rambutan - Kampung Melayu,376261,Ramai Penumpang
73,2021,10,BRT,6,Ragunan - Dukuh Atas 2,348321,Ramai Penumpang
74,2021,10,BRT,5,Kampung Melayu - Ancol,430590,Ramai Penumpang
75,2021,10,BRT,4,Pulo Gadung 2 - Tosari,274326,Ramai Penumpang
76,2021,10,BRT,3,Kalideres - Pasar Baru,466445,Padat Penumpang
77,2021,10,BRT,2,Pulo Gadung 1 - Harmoni,331229,Ramai Penumpang
78,2021,10,BRT,13,Ciledug - Tendean,307410,Ramai Penumpang
79,2021,10,BRT,12,Penjaringan - Sunter Bouleverd Barat,140853,Sepi penumpang
80,2021,10,BRT,11,Pulo Gebang - Kampung Melayu,135543,Sepi penumpang
81,2021,10,BRT,10,Tanjung Priok - PGC 2,369184,Ramai Penumpang
82,2021,10,BRT,1,Blok M - Kota,903783,Padat Penumpang
192,2021,8,BRT,9,Pinang Ranti - Pluit,399358,Ramai Penumpang
193,2021,8,BRT,8,Lebak Bulus - Harmoni,248009,Ramai Penumpang
194,2021,8,BRT,7,Kampung Rambutan - Kampung Melayu,211537,Sepi penumpang
195,2021,8,BRT,6,Ragunan - Dukuh Atas 2,194549,Sepi penumpang
196,2021,8,BRT,5,Kampung Melayu - Ancol,228704,Sepi penumpang
197,2021,8,BRT,4,Pulo Gadung 2 - Tosari,147131,Sepi penumpang
198,2021,8,BRT,3,Kalideres - Pasar Baru,263067,Ramai Penumpang
199,2021,8,BRT,2,Pulo Gadung 1 - Harmoni,182122,Sepi penumpang
200,2021,8,BRT,13,Ciledug - Tendean,160187,Sepi penumpang
201,2021,8,BRT,12,Penjaringan - Sunter Bouleverd Barat,80348,Sepi penumpang
202,2021,8,BRT,11,Pulo Gebang - Kampung Melayu,74753,Sepi penumpang
203,2021,8,BRT,10,Tanjung Priok - PGC 2,213453,Sepi penumpang
204,2021,8,BRT,1,Blok M - Kota,462959,Ramai Penumpang
316,2021,3,BRT,9,Pinang Ranti - Pluit,756064,Padat Penumpang
317,2021,3,BRT,8,Lebak Bulus - Harmoni,508851,Padat Penumpang
318,2021,3,BRT,7,Kampung Rambutan - Kampung Melayu,453819,Ramai Penumpang
319,2021,3,BRT,6,Ragunan - Dukuh Atas 2,405083,Ramai Penumpang
320,2021,3,BRT,5,Kampung Melayu - Ancol,494769,Padat Penumpang
321,2021,3,BRT,4,Pulo Gadung 2 - Tosari,277604,Ramai Penumpang
322,2021,3,BRT,3,Kalideres - Pasar Baru,534617,Padat Penumpang
323,2021,3,BRT,2,Pulo Gadung 1 - Harmoni,412664,Ramai Penumpang
324,2021,3,BRT,13,Ciledug - Tendean,334450,Ramai Penumpang
325,2021,3,BRT,12,Penjaringan - Sunter Bouleverd Barat,164012,Sepi penumpang
326,2021,3,BRT,11,Pulo Gebang - Kampung Melayu,166555,Sepi penumpang
327,2021,3,BRT,10,Tanjung Priok - PGC 2,427032,Ramai Penumpang
328,2021,3,BRT,1,Blok M - Kota,1013221,Padat Penumpang
438,2021,6,BRT,9,Pinang Ranti - Pluit,692649,Padat Penumpang
439,2021,6,BRT,8,Lebak Bulus - Harmoni,477804,Padat Penumpang
440,2021,6,BRT,7,Kampung Rambutan - Kampung Melayu,405333,Ramai Penumpang
